index,Open,High,Low,Close,Volume,Adj Close
2020-07-27,20.102643966674805,22.05987930297852,19.40880584716797,19.467430114746094,5275176.0,19.467430114746094
2020-08-03,19.477575302124023,20.7572078704834,18.52779197692871,20.55302047729492,4650133.0,20.55302047729492
2020-08-10,20.559459686279297,57.462982177734375,19.811567306518555,49.6076545715332,22710268.0,49.6076545715332
2020-08-17,50.42,53.88,37.77,43.591,159555.892,
2020-08-24,43.283,67.5,38.622,51.355,346655.546,
2020-08-31,51.329,59.59,35.0,38.255,182169.941,
2020-09-07,38.255,40.0,33.894,35.547,72127.884,
2020-09-14,35.573,40.0,28.733,33.266,337547.187,
2020-09-21,33.265,34.136,28.81,31.675,167039.92,
2020-09-28,31.74,32.022,27.908,28.953,61668.132,
2020-10-05,29.015,29.681,26.837,28.752,43184.26,
2020-10-12,28.893,35.99,27.766,29.128,65329.316,
2020-10-19,29.137,29.954,25.855,25.97,65573.136,
2020-10-26,25.957,27.146,22.788,23.239,61676.427,
2020-11-02,23.324,28.478,22.05,23.312,160794.573,
2020-11-09,23.21,26.531,22.21,24.052,98147.632,
2020-11-16,24.018,45.465,22.88,32.473,306086.97,
2020-11-23,32.461,41.346,25.945,35.447,434503.403,
2020-11-30,35.588,36.661,27.78,31.181,207386.581,
2020-12-07,31.118,33.998,25.197,29.179,259480.776,
2020-12-14,29.19,31.024,25.975,27.019,315142.545,
2020-12-21,26.952,27.799,21.299,23.578,188833.149,
2020-12-28,23.485,25.609,22.021,24.098,118934.94,
2021-01-04,24.037,31.817,21.453,27.566,272528.81,
2021-01-11,27.599,37.598,24.714,27.75,355835.694,
2021-01-18,27.822,31.125,25.319,27.428,156183.573,
2021-01-25,27.543,28.19,25.0,26.933,148723.696,
2021-02-01,26.996,40.183,26.306,34.442,667602.49,
2021-02-08,34.52,54.1,33.954,44.079,1015916.517,
2021-02-15,44.051,52.99,35.439,40.648,631035.918,
2021-02-22,40.65,51.89,31.8,39.473,882563.21,
2021-03-01,39.4,45.0,37.343,39.42,321938.088,
2021-03-08,39.591,46.603,38.522,41.653,582837.842,
2021-03-15,41.555,67.479,39.8,50.068,1052076.813,
2021-03-22,49.976,52.213,38.745,45.811,296230.809,
2021-03-29,45.873,75.987,44.942,66.022,595261.274,
2021-04-05,66.169,82.1,62.5,72.56,705994.304,
2021-04-12,72.719,92.75,65.99,73.383,534388.508,
2021-04-19,73.465,86.859,52.845,55.363,461475.979,
2021-04-26,55.317,72.409,55.308,66.361,280148.098,
2021-05-03,66.198,78.464,63.259,66.971,434395.765,
2021-05-10,67.113,97.7,53.346,76.2,2195058.442,
2021-05-17,76.047,88.998,27.969,34.332,1748748.493,
2021-05-24,34.322,69.0,33.009,52.68,3320087.708,
2021-05-31,52.716,56.5,45.001,48.327,866149.007,
2021-06-07,48.267,50.236,36.185,39.456,844609.476,
2021-06-14,39.52,43.9,35.069,36.703,692261.32,
2021-06-21,36.584,36.728,23.143,28.404,606892.391,
2021-06-28,28.404,43.5,27.62,32.22,1338748.56,
2021-07-05,32.2,35.442,30.0,31.518,669660.019,
2021-07-12,31.437,36.66,28.88,30.56,521016.954,
2021-07-19,30.525,39.264,26.968,35.055,419236.641,
2021-07-26,35.01,40.596,33.475,38.577,457070.72,
2021-08-02,38.594,56.587,36.832,38.294,1415282.892,
2021-08-09,38.28,43.826,37.057,42.091,504299.25,
2021-08-16,42.109,46.093,37.689,44.472,463696.035,
2021-08-23,44.549,45.499,40.822,43.11,414795.918,
2021-08-30,43.11,51.0,42.15,48.64,346778.25,
2021-09-06,48.74,55.54,37.41,45.62,769231.378,
2021-09-13,45.6,62.99,42.2,44.78,861148.908,
2021-09-20,44.79,58.0,36.02,41.32,1075071.254,
2021-09-27,41.23,49.53,38.85,43.96,565755.14,
2021-10-04,43.98,48.86,42.84,43.38,291382.23,
2021-10-11,43.38,47.28,42.16,44.08,358653.18,
2021-10-18,44.25,48.44,40.8,42.92,201180.52,
2021-10-25,43.03,46.59,40.13,43.09,187156.52,
2021-11-01,43.09,49.19,42.26,44.83,126913.86,
2021-11-08,44.83,47.24,42.33,43.75,125985.7,
2021-11-15,43.75,44.97,38.26,41.17,110755.49,
2021-11-22,41.18,43.7,37.01,39.8,136920.04,
2021-11-29,39.92,46.52,34.24,36.42,245976.097,
2021-12-06,36.61,45.06,33.0,34.07,263694.484,
2021-12-13,34.03,35.58,30.35,32.22,108495.081,
2021-12-20,32.19,34.79,30.75,34.38,57709.23,
2021-12-27,34.44,37.99,31.19,32.2,104411.19,
2022-01-03,32.15,32.79,26.99,28.07,67395.202,
2022-01-10,28.07,29.3,26.56,28.39,50553.15,
2022-01-17,28.48,28.56,20.4,22.29,95072.078,
2022-01-24,22.29,34.3,19.01,25.68,1746241.854,
2022-01-31,25.68,35.48,22.58,27.84,1424396.63,
2022-02-07,27.84,34.27,26.4,28.1,997650.79,
2022-02-14,28.1,36.25,26.3,27.94,1121806.8,
2022-02-21,27.94,31.98,25.8,29.14,870713.29,
2022-02-28,29.14,31.69,28.33,28.82,188771.87,
2022-03-07,28.82,29.46,27.07,27.14,101848.02,
2022-03-14,27.14,29.49,26.74,29.13,112910.22,
2022-03-21,29.13,32.98,28.5,31.19,224827.55,
2022-03-28,31.19,33.93,30.39,31.43,248730.22,
2022-04-04,31.44,32.25,27.7,27.81,114000.4,
2022-04-11,27.77,27.98,25.72,26.44,64116.39,
2022-04-18,26.41,28.37,25.06,25.07,130856.24,
2022-04-25,25.08,34.0,23.02,23.71,1150507.37,
2022-05-02,23.71,24.31,19.01,19.12,151053.56,
2022-05-09,19.12,19.49,11.2,13.68,482779.25,
2022-05-16,13.69,15.19,12.55,13.28,330223.22,
2022-05-23,13.28,13.69,11.4,12.25,151091.31,
2022-05-30,12.25,13.14,11.17,11.72,191277.13,
2022-06-06,11.72,13.6,9.35,9.36,325157.615,
2022-06-13,9.36,9.54,7.19,8.09,253370.88,
2022-06-20,8.06,9.55,7.69,8.84,334905.31,
2022-06-27,8.83,9.38,8.76,8.8,22928.38,
